名称,原名称,年代,地址,批次,等级,经度,纬度,API返回地址,匹配方式,精度,状态,搜索关键词,Longitude,Latitude,经度偏移,纬度偏移
黎黄陂路38号,高氏医院,1937年前,武汉市黎黄陂路38号,第四批,一级,114.298442,30.588547,武汉市江岸区 - 湖北省武汉市江岸区黎黄陂路38号,geocode,精确,成功,武汉市黎黄陂路38号,114.2930066767533,30.590969736818863,0.005435323246700818,-0.0024227368188647347
江岸区交通局,岳飞街1号,1937年前,武汉市江岸区岳飞街1号,第四批,一级,114.298686,30.58959,武汉市江岸区 - 湖北省武汉市江岸区岳飞街1号,geocode,精确,成功,武汉市江岸区岳飞街1号,114.29325028891763,30.592011950723002,0.005435711082370176,-0.0024219507230007764
川府麻辣虾饭店,和利冰厂,1918,武汉市江岸区岳飞街44号,第四批,一级,114.300862,30.591734,武汉市江岸区 - 湖北省武汉市江岸区岳飞街44号,geocode,精确,成功,武汉市江岸区岳飞街44号,114.2954233811336,30.594151622847534,0.0054386188663926305,-0.0024176228475347727
武汉春秋旅行社,中山大道889号,1949,武汉市中山大道889号,第四批,一级,114.300873,30.591996,武汉市江岸区 - 湖北省武汉市江岸区中山大道889号,geocode,精确,成功,武汉市中山大道889号,114.29543434443715,30.594413503853197,0.005438655562841177,-0.0024175038531950577
赞育汽水厂,湖庭街103-105号,1937年前,武汉市江岸区湖庭街103-105号,第四批,一级,114.282987,30.633093,武汉市江岸区 - 湖北省武汉市江岸区,geocode,精确,成功,武汉市江岸区湖庭街103-105号,114.27756311193068,30.635519279082345,0.005423888069330474,-0.002426279082346383
市民宗委,鄱阳街49号,1937,武汉市江岸区鄱阳街49号,第四批,一级,114.296784,30.583046,武汉市江岸区 - 湖北省武汉市江岸区鄱阳街49号,geocode,精确,成功,武汉市江岸区鄱阳街49号,114.29135113327446,30.585473419220513,0.005432866725541885,-0.0024274192205133716
联保里,联保里,1937,武汉市江汉区前进五路4号,第四批,一级,114.289618,30.579547,武汉市江汉区 - 湖北省武汉市江汉区前进五路4号,geocode,精确,成功,武汉市江汉区前进五路4号,114.28419309738607,30.581986189834293,0.005424902613938798,-0.0024391898342912555
永和豆浆,花楼街321号,1920年前,武汉市花楼街321号,第四批,一级,114.290872,30.575495,武汉市江汉区 - 湖北省武汉市江汉区花楼街282号,geocode,精确,成功,武汉市花楼街321号,114.28544621795756,30.57793396040439,0.005425782042436822,-0.0024389604043904
中山大道696-714号,中山大道696-714号,1937,武汉市中山大道696-714号,第四批,一级,114.289535,30.582211,武汉市江汉区 - 湖北省武汉市江汉区中山大道696号,geocode,精确,成功,武汉市中山大道696-714号,114.28410994728893,30.58464930390103,0.0054250527110752955,-0.002438303901030281
中国电信,中孚银行,1917,武汉市南京路45号,第五批,一级,114.293674,30.58256,武汉市江岸区 - 湖北省武汉市江岸区南京路45号,geocode,精确,成功,武汉市南京路45号,114.28824468744828,30.58499229601671,0.005429312551711973,-0.002432296016710467
居民住宅,南京路72-80号,1937年前,武汉市南京路72-80号,第五批,一级,114.291437,30.583592,武汉市江岸区 - 湖北省武汉市江岸区南京路72号,geocode,精确,成功,武汉市南京路72-80号,114.28600995004653,30.586027137386314,0.005427049953468099,-0.002435137386314068
美庐时尚餐厅,南京路122号,1937年前,武汉市南京路122号,第五批,一级,114.290385,30.58477,武汉市江岸区 - 湖北省武汉市江岸区南京路122号,geocode,精确,成功,武汉市南京路122号,114.28495890138102,30.58720616687046,0.005426098618983133,-0.0024361668704599992
居民住宅,宝顺洋行,1916年左右,武汉市天津路5号,第五批,一级,114.299133,30.583216,武汉市江岸区 - 湖北省武汉市江岸区天津路5号,geocode,精确,成功,武汉市天津路5号,114.29369728978385,30.58563966399979,0.005435710216147527,-0.002423663999788772
铁路局住宅,怡和洋行住宅,1919,武汉市胜利街187-191号,第五批,一级,114.30192,30.591361,武汉市江岸区 - 湖北省武汉市江岸区胜利街187号,geocode,精确,成功,武汉市胜利街187-191号,114.2964800475133,30.593777028417513,0.005439952486696598,-0.0024160284175138713
居民住宅,中山大道891-903号,1937年前,武汉市中山大道891-903号,第五批,一级,114.289657,30.582548,武汉市江岸区 - 湖北省武汉市江岸区中山大道891号,geocode,精确,成功,武汉市中山大道891-903号,114.28423180120244,30.584986010155014,0.005425198797567532,-0.002438010155014325
市招商局,由立兴洋行所建的自用办公楼和仓库,1901建成，1935改建,武汉市沿江大道183号,第五批,一级,114.304534,30.591135,武汉市江岸区 - 湖北省武汉市江岸区沿江大道183号,geocode,精确,成功,武汉市沿江大道183号,114.2990905815093,30.593546729748546,0.005443418490699514,-0.0024117297485446443
市第六中学,德华学堂,1908,武汉市球场街64号,第五批,一级,114.290503,30.602409,武汉市江岸区 - 湖北省武汉市江岸区球场街64号,geocode,精确,成功,武汉市球场街64号,114.28507526339287,30.604838172142383,0.005427736607131806,-0.002429172142381475
武汉铁路局武汉中力物流公司,胜利街325号,1949,武汉市胜利街325号,第五批,一级,114.308366,30.601928,武汉市江岸区 - 湖北省武汉市江岸区胜利街325号,geocode,精确,成功,武汉市胜利街325号,114.3029162765729,30.604328876812037,0.0054497234271053685,-0.0024008768120360457
江岸区好儿童托教部,胜利街333号,1937,武汉市胜利街333号,第五批,一级,114.308946,30.602599,武汉市江岸区 - 湖北省武汉市江岸区胜利街333号,geocode,精确,成功,武汉市胜利街333号,114.30349538072996,30.60499858588922,0.005450619270050083,-0.002399585889218514
胜利街335号,日本居留民团办事处,1937,武汉市胜利街335号,第五批,一级,114.308819,30.60312,武汉市江岸区 - 湖北省武汉市江岸区胜利街335号,geocode,精确,成功,武汉市胜利街335号,114.30336851960489,30.605519604559795,0.0054504803951118674,-0.00239960455979471
涂长望纪念馆,市气象局政务服务中心,1937,武汉市胜利街339号,第五批,一级,114.309532,30.603758,武汉市江岸区 - 湖北省武汉市江岸区胜利街339号,geocode,精确,成功,武汉市胜利街339号,114.30408042782692,30.606156085420782,0.005451572173086561,-0.0023980854207827917
